transaction_id,transaction_date,transaction_time,store_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity_sold,unit_price,promo_item_yn
390,2019-02-01,7:01:20,5,12,5658,Y,1,1,22,2,2.0,N
1228,2019-02-01,7:02:56,5,30,5197,N,1,1,22,1,2.0,N
1644,2019-02-01,7:03:30,5,12,5247,Y,1,1,22,2,2.0,N
1034,2019-02-01,7:04:24,5,30,5333,N,1,1,37,1,3.0,N
1338,2019-02-01,7:06:11,5,30,5465,Y,1,1,32,2,3.0,N
799,2019-02-01,7:06:29,5,12,5923,N,1,1,46,1,2.5,N
2257,2019-02-01,7:06:32,5,30,5627,N,1,1,22,1,2.0,N
994,2019-02-01,7:07:19,5,12,5806,Y,1,1,61,1,4.75,N
399,2019-02-01,7:08:56,5,30,5895,Y,1,1,57,2,3.1,N
1127,2019-02-01,7:09:59,5,30,5073,Y,1,1,61,2,4.75,N
1490,2019-02-01,7:12:10,5,30,5050,N,1,1,45,1,3.0,N
451,2019-02-01,7:14:04,5,26,5412,N,1,1,59,2,4.5,N
981,2019-02-01,7:15:02,5,26,5376,N,1,1,34,1,2.45,N
1170,2019-02-01,7:20:24,5,12,5676,Y,1,1,22,1,2.0,N
625,2019-02-01,7:21:23,5,26,5921,Y,1,1,54,2,2.5,N
2264,2019-02-01,7:22:41,5,12,5162,Y,1,1,40,1,3.75,N
1994,2019-02-01,7:24:20,5,30,5514,N,1,1,53,1,3.0,N
1933,2019-02-01,7:26:59,5,12,5178,N,1,1,27,2,3.5,N
2344,2019-02-01,7:27:31,5,12,5672,N,1,1,32,1,3.0,N
2344,2019-02-01,7:27:31,5,12,5672,N,1,5,71,1,3.75,N
1735,2019-02-01,7:32:03,5,12,5630,Y,1,1,61,2,4.75,N
2147,2019-02-01,7:33:34,5,26,5195,N,1,1,28,2,2.0,N
2399,2019-02-01,7:39:34,5,30,5489,Y,1,1,58,2,3.5,N
1023,2019-02-01,7:41:18,5,30,5227,Y,1,1,34,2,2.45,N
1866,2019-02-01,7:41:34,5,12,5115,N,1,1,22,1,2.0,N
534,2019-02-01,7:43:05,5,26,5373,N,1,1,56,1,2.55,N
2475,2019-02-01,7:45:51,5,30,5394,N,1,1,51,1,3.0,N
330,2019-02-01,7:46:28,5,26,5291,Y,1,1,24,2,3.0,N
330,2019-02-01,7:46:28,5,26,5291,Y,1,5,72,1,3.25,N
2428,2019-02-01,7:46:30,5,26,5508,N,1,1,47,2,3.0,N
1483,2019-02-01,7:48:19,5,12,5491,N,1,1,57,1,3.1,N
865,2019-02-01,7:49:41,5,30,5593,N,1,1,50,2,2.5,N
1446,2019-02-01,7:51:55,5,30,5647,N,1,1,25,2,2.2,N
76,2019-02-01,7:52:17,5,12,5020,N,1,1,34,2,2.45,N
1074,2019-02-01,7:59:58,5,26,5477,Y,1,1,47,2,3.0,N
1074,2019-02-01,7:59:58,5,26,5477,Y,1,5,79,1,3.75,N
1556,2019-02-01,8:01:00,5,26,5361,N,1,1,55,2,4.0,N
1082,2019-02-01,8:03:55,5,12,5181,Y,1,1,37,2,3.0,N
1082,2019-02-01,8:03:55,5,12,5181,Y,1,5,79,1,3.75,N
1150,2019-02-01,8:05:46,5,30,5929,Y,1,1,23,1,2.5,N
1201,2019-02-01,8:06:19,5,26,5651,Y,1,1,45,1,3.0,N
2490,2019-02-01,8:09:09,5,26,5873,Y,1,1,43,1,3.0,N
41,2019-02-01,8:11:45,8,45,8293,Y,1,1,61,1,4.75,N
21,2019-02-01,8:12:03,8,15,8291,Y,1,1,47,1,3.0,N
1724,2019-02-01,8:13:31,5,12,5388,Y,1,1,54,2,2.5,N
1692,2019-02-01,8:16:50,8,45,8326,Y,1,1,28,1,2.0,N
2806,2019-02-01,8:17:27,8,42,8483,N,1,1,33,2,3.5,N
1988,2019-02-01,8:18:52,5,30,5735,N,1,1,51,1,3.0,N
266,2019-02-01,8:21:46,8,15,8042,N,1,1,58,1,3.5,N
224,2019-02-01,8:24:24,8,45,8050,Y,1,1,40,2,3.75,N
1787,2019-02-01,8:24:26,5,26,5290,N,1,1,56,2,2.55,N
1787,2019-02-01,8:24:26,5,26,5290,N,1,5,69,1,3.25,N
1090,2019-02-01,8:24:26,8,15,8411,N,1,1,26,1,3.0,N
1031,2019-02-01,8:24:50,5,30,5305,Y,1,1,44,1,2.5,N
151,2019-02-01,8:25:34,8,42,8126,Y,1,1,87,2,3.0,N
623,2019-02-01,8:25:44,8,15,8413,Y,1,1,30,2,3.0,N
236,2019-02-01,8:29:51,5,12,5577,N,1,1,32,2,3.0,N
2106,2019-02-01,8:30:00,5,30,5398,Y,1,1,47,1,3.0,N
737,2019-02-01,8:31:23,8,42,8003,N,1,1,40,1,3.75,N
2687,2019-02-01,8:32:31,8,45,8180,N,1,1,61,1,4.75,N
459,2019-02-01,8:33:04,8,45,8086,Y,1,1,61,2,4.75,N
32,2019-02-01,8:34:14,8,15,8373,Y,1,1,30,2,3.0,N
32,2019-02-01,8:34:14,8,15,8373,Y,1,5,74,1,3.5,N
1445,2019-02-01,8:35:26,8,15,8168,N,1,1,22,2,2.0,N
755,2019-02-01,8:37:40,5,26,5680,N,1,1,87,1,3.0,N
755,2019-02-01,8:37:40,5,26,5680,N,1,5,70,1,3.25,N
2125,2019-02-01,8:39:30,5,30,5601,Y,1,1,54,2,2.5,N
2404,2019-02-01,8:40:04,5,26,5607,N,1,1,41,2,4.25,N
2456,2019-02-01,8:41:53,5,12,5384,N,1,1,25,2,2.2,N
699,2019-02-01,8:41:57,8,45,8278,N,1,1,40,2,3.75,N
54,2019-02-01,8:42:00,5,12,5782,N,1,1,24,2,3.0,N
191,2019-02-01,8:44:43,8,42,8236,N,1,1,53,2,3.0,N
957,2019-02-01,8:46:53,8,15,8324,N,1,1,24,1,3.0,N
46,2019-02-01,8:47:03,5,12,5066,Y,1,1,23,1,2.5,N
1862,2019-02-01,8:48:36,8,45,8282,N,1,1,56,2,2.55,N
71,2019-02-01,8:48:48,5,26,5598,Y,1,1,38,1,3.75,N
71,2019-02-01,8:48:48,5,26,5598,Y,1,5,75,1,3.5,N
2386,2019-02-01,8:52:03,8,45,8400,Y,1,1,38,1,3.75,N
2045,2019-02-01,8:52:12,5,12,5543,N,1,1,25,2,2.2,N
14,2019-02-01,8:52:32,5,26,5924,Y,1,1,26,1,3.0,N
590,2019-02-01,8:52:58,8,42,8490,Y,1,1,23,1,2.5,N
808,2019-02-01,8:55:25,5,30,5105,Y,1,1,39,2,4.25,N
